candidate_id,label,source,search_score,eval_score,eval_score_mean,eval_score_sd,eval_score_min,eval_score_max,history_start,history_end,history_steps,tau_sd,tau_cv,best_eval_score,score_ratio_to_best,acceptance_multiplier,strict_accepted,profile_requested_tau_sd,best_start_name,stress_origin_candidate_id,screen_de_score,eta_log2,tau_log2,kappa_log2,epsilon_log2,SWE_Xc_log2,SWE_xc_std_log2,USA_Xc_log2,USA_xc_std_log2,eta,beta,kappa,epsilon,tau,tau_factor_vs_karin,eta_factor,beta_factor,kappa_factor,epsilon_factor,SWE_Xc,SWE_xc_std_frac,USA_Xc,USA_xc_std_frac,heterogeneity_pct,panel,curve,age,value,n_sim,dt,target_tau_cv,source_fit,source_script,generation_source,ci_lower,ci_upper,source_ci,ci_method,ci_parameters
profile_tau_sd_0.000,profile $\sigma_v=0.000$,profile_tau_sd,0.0293698111524068,0.0104153454868315,0.0104153454868315,0.0020954816346755,0.0082707331694358,0.0124579721015222,0.0710704563599176,0.0293698111524068,5.0,0.0,0.0,0.0104153454868315,1.0,2.5,True,0.0,hybrid2019_swe_tail90_usa_refit,stress_tau_sd_0.000_hybrid2019_swe_tail90_usa_refit,3.1497723045814876,0.1199999999999998,-0.0400000000000001,0.0,-0.0600000000000002,0.0500000000000001,-1.125,-0.0099999999999999,-0.0599999999999999,0.5868368257640714,57.87173772073557,0.5,49.718659304628446,98.61640439041228,0.9726549474122854,1.086734862526058,1.0570180405613805,1.0,0.9592641193252642,21.74056340066893,0.0917004043204671,20.854942404177756,0.1918528238650529,0.0,A_fit_objective,,,,,,,,,,,,,,
profile_tau_sd_0.025,profile $\sigma_v=0.025$,profile_tau_sd,0.0342592052061684,0.0163423231831384,0.0163423231831384,0.001891016904532,0.0142196966602882,0.0178472437220012,0.0728657671853461,0.0342592052061684,5.0,0.025,0.0250039067586724,0.0104153454868315,1.5690620348408515,2.5,True,0.025,carry_tau_sd_0.000,stress_tau_sd_0.025_carry_tau_sd_0.000,1.1713637239336423,0.1199999999999998,-0.0400000000000001,0.0,-0.0600000000000002,0.0500000000000001,-0.8125,-0.0099999999999999,-0.4349999999999999,0.5868368257640714,57.87173772073557,0.5,49.718659304628446,98.61640439041228,0.9726549474122854,1.086734862526058,1.0570180405613805,1.0,0.9592641193252642,21.74056340066893,0.1138788634756691,20.854942404177756,0.1479387509248837,2.50039067586724,A_fit_objective,,,,,,,,,,,,,,
profile_tau_sd_0.050,profile $\sigma_v=0.050$,profile_tau_sd,0.0606330075273087,0.0447954827247992,0.0447954827247992,0.008129900748919,0.0357595598656804,0.0515178397065031,0.0836908620213843,0.0606330075273087,4.0,0.05,0.0500312662821478,0.0104153454868315,4.300911840268335,2.5,False,0.05,de_best,stress_tau_sd_0.050_de_best,2.1211883604295174,0.1199999999999997,-0.0227077616068727,0.25,0.0178150727690729,0.05,-1.4460757878996244,-0.0349998793007728,-0.5130671882026436,0.5868368257640714,58.569565958518865,0.5946035575013605,52.47398902409413,99.80553943979284,0.9843834026938472,1.086734862526058,1.0697637617994311,1.189207115002721,1.012425024582175,21.74056340066893,0.0734036756461296,20.49666869109969,0.1401462179626769,5.003126628214781,A_fit_objective,,,,,,,,,,,,,,
profile_tau_sd_0.075,profile $\sigma_v=0.075$,profile_tau_sd,0.0790558689946861,0.0859063252855215,0.0859063252855215,0.0031225392898751,0.0833301856675139,0.0893790873195796,0.1655512532221752,0.0790558689946861,5.0,0.075,0.0751055924505399,0.0104153454868315,8.248053354940117,2.5,False,0.075,carry_tau_sd_0.025,stress_tau_sd_0.075_carry_tau_sd_0.025,0.3877892243326724,0.3699999999999999,-0.1025000000000001,0.0,-0.0600000000000002,-0.0124999999999998,-1.0625,-0.0099999999999999,-0.4349999999999999,0.6978705285442458,65.90367718999379,0.5,49.718659304628446,94.435392374956,0.9314175686297032,1.292352830637492,1.2037201313240875,1.0,0.9592641193252642,20.818834836715904,0.0957603280698573,20.854942404177756,0.1479387509248837,7.510559245053989,A_fit_objective,,,,,,,,,,,,,,
profile_tau_sd_0.100,profile $\sigma_v=0.100$,profile_tau_sd,0.0641004224618962,0.0895813533458386,0.0895813533458386,0.0068037261879427,0.0822646656009125,0.0957176500776057,0.123491611316665,0.0641004224618962,5.0,0.1,0.1002505216154407,0.0104153454868315,8.600900801523965,2.5,False,0.1,tau_cv010_stress_refit_candidates_stress_random_18,stress_tau_sd_0.100_tau_cv010_stress_refit_candidates_stress_random_18,4.085823906392253,0.1462752308596855,-0.327369765388636,0.031771417796674,-1.375,0.3425097957289221,0.5676111115344853,0.4290229624675965,1.2689299269949923,0.5976225715367414,48.29133778614342,0.5111332743657568,19.98319677022339,80.80574611157321,0.7969881808264756,1.1067084658087802,0.8820335668701995,1.0222665487315137,0.3855527063519852,26.627170369883796,0.2964134908761669,28.272751450795035,0.4819655159276957,10.02505216154407,A_fit_objective,,,,,,,,,,,,,,
profile_tau_sd_0.130,profile $\sigma_v=0.130$,profile_tau_sd,0.2065139884393852,0.2830732062396984,0.2830732062396984,0.0078415400307832,0.274028743368763,0.2879669462034384,0.3170825999745476,0.2065139884393852,4.0,0.13,0.1305511887290398,0.0104153454868315,27.178474933702027,2.5,False,0.13,carry_tau_sd_0.075,stress_tau_sd_0.130_carry_tau_sd_0.075,0.6333104875858472,0.3699999999999999,-0.1025000000000001,0.0,-0.0600000000000002,-0.0749999999999999,-1.3125,-0.0099999999999999,-0.1849999999999999,0.6978705285442458,65.90367718999379,0.5,49.718659304628446,94.435392374956,0.9314175686297032,1.292352830637492,1.2037201313240875,1.0,0.9592641193252642,19.936184539960905,0.0805245165974627,20.854942404177756,0.1759298151844871,13.055118872903982,A_fit_objective,,,,,,,,,,,,,,
profile_tau_sd_0.160,profile $\sigma_v=0.160$,profile_tau_sd,0.3386000159121913,0.405498635195276,0.405498635195276,0.017108606972573,0.3900186737205185,0.4238679398573921,0.6641757081162655,0.3386000159121913,4.0,0.16,0.1610294823638894,0.0104153454868315,38.932806953735714,2.5,False,0.16,de_best,stress_tau_sd_0.160_de_best,2.66766832651528,0.1199999999999997,-0.165,-0.7406335433246003,-0.0600000000000001,-0.0208569917423565,-1.21221825503463,-0.0161822634666358,-1.8170135711760655,0.5868368257640714,53.0686174771948,0.2992382401850342,49.718659304628446,90.43164155231494,0.8919285194200927,1.086734862526058,0.9692898169350648,0.5984764803700684,0.9592641193252642,20.698587737498276,0.0863208959974116,20.765765626801915,0.0567615711587713,16.10294823638894,A_fit_objective,,,,,,,,,,,,,,
profile_tau_sd_0.200,profile $\sigma_v=0.200$,profile_tau_sd,0.53019541126594,0.5895131506826775,0.5895131506826775,0.023176440410981,0.5654978049205499,0.6117479818233876,0.7818640050058566,0.53019541126594,3.0,0.2,0.2020167671070602,0.0104153454868315,56.60044128425854,2.5,False,0.2,carry_tau_sd_0.160,stress_tau_sd_0.200_carry_tau_sd_0.160,6.028866001060083,0.3699999999999998,-0.165,-0.7406335433246003,0.1899999999999998,-0.0208569917423565,-1.21221825503463,-0.0161822634666358,-1.8170135711760655,0.6978705285442458,63.10957748723781,0.2992382401850342,59.12578339346038,90.43164155231494,0.8919285194200927,1.292352830637492,1.1526863467988642,0.5984764803700684,1.1407637158684234,20.698587737498276,0.0863208959974116,20.765765626801915,0.0567615711587713,20.20167671070602,A_fit_objective,,,,,,,,,,,,,,
profile_tau_sd_0.250,profile $\sigma_v=0.250$,profile_tau_sd,0.5919200534376895,0.698513398580773,0.698513398580773,0.0107137843931624,0.6863280586482277,0.7064562831479522,1.2915821561551868,0.5919200534376895,4.0,0.25,0.2539575927548915,0.0104153454868315,67.0657924371231,2.5,False,0.25,random_07,stress_tau_sd_0.250_random_07,11.20397667195903,-1.2003469620947462,-0.5414123044244645,-0.2346750549887681,-1.2774119943487228,0.4744654041948061,-0.7682002059898414,1.0233304121626523,0.0068396535421624,0.2349921306737167,16.37051488571236,0.4249381996271514,21.381682764334023,69.66409827758271,0.6870979556145144,0.4351706123587346,0.2990048380952029,0.8498763992543029,0.4125348787253333,29.177468797887503,0.1174298999829879,42.68472072290177,0.200950428470384,25.395759275489148,A_fit_objective,,,,,,,,,,,,,,
HMD,Sweden 2019 HMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_mortality_curves,hazard,55.0,0.00295,,,,,,,,,,,
